index,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
3159,SpongeBob SquarePants: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco,0.46,0.17,0.0,0.01,0.64,,,,,,
3352,The Golden Compass,Wii,2007.0,Action,Sega,0.26,0.28,0.0,0.07,0.6,35.0,12.0,6.8,6.0,Shiny Entertainment,E10+
3413,Madden NFL 06,X360,2005.0,Sports,Electronic Arts,0.54,0.0,0.01,0.03,0.59,74.0,48.0,4.9,44.0,EA Tiburon,E
3459,NASCAR: Dirt to Daytona,PS2,2002.0,Racing,Atari,0.28,0.22,0.0,0.07,0.58,84.0,10.0,8.8,19.0,Monster Games Inc.,E
3486,Madden NFL 2002,XB,2001.0,Sports,EA Sports,0.53,0.02,0.0,0.03,0.58,90.0,16.0,8.1,8.0,EA Sports,E
3704,Def Jam: Fight for NY,XB,2004.0,Fighting,Electronic Arts,0.43,0.1,0.0,0.02,0.54,84.0,33.0,8.5,13.0,Aki Corp.,M
3739,NBA Street Vol. 2,GC,2003.0,Sports,Electronic Arts,0.41,0.11,0.0,0.01,0.54,88.0,16.0,8.1,7.0,Electronic Arts,E
3755,SpongeBob SquarePants: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,Majesco,0.38,0.14,0.0,0.01,0.53,,,,,,
3883,Fishing Derby,2600,1980.0,Sports,Activision,0.48,0.03,0.0,0.01,0.51,,,,,,
3997,Wet,X360,2009.0,Shooter,Bethesda Softworks,0.23,0.21,0.01,0.05,0.5,69.0,79.0,7.3,86.0,Artificial Mind and Movement,M
4132,Karate,2600,1982.0,Fighting,Ultravision,0.44,0.03,0.0,0.0,0.47,,,,,,
4205,Tiger Woods PGA Tour 07,Wii,2006.0,Sports,Electronic Arts,0.43,0.0,0.0,0.04,0.47,71.0,41.0,6.9,44.0,EA Redwood Shores,E
4220,Circus Atari,2600,1978.0,Action,Atari,0.43,0.03,0.0,0.0,0.46,,,,,,
4294,The Chronicles of Riddick: Escape from Butcher Bay,XB,2004.0,Shooter,Vivendi Games,0.32,0.11,0.0,0.02,0.45,89.0,84.0,8.9,85.0,Starbreeze,M
4337,Maze Craze: A Game of Cops 'n Robbers,2600,1978.0,Action,Atari,0.42,0.02,0.0,0.0,0.45,,,,,,
4373,Silent Hill: Homecoming,X360,2008.0,Action,Konami Digital Entertainment,0.25,0.15,0.0,0.04,0.45,70.0,54.0,6.9,180.0,Double Helix Games,M
4437,Super Breakout,2600,1976.0,Puzzle,Atari,0.41,0.03,0.0,0.0,0.44,,,,,,
4445,Robert Ludlum's The Bourne Conspiracy,X360,2008.0,Action,Vivendi Games,0.26,0.13,0.0,0.04,0.44,71.0,72.0,7.2,63.0,High Moon Studios,T
4508,The Fairly Odd Parents: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco,0.31,0.11,0.0,0.01,0.43,,,,,,
4615,The Fairly Odd Parents: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,Majesco,0.3,0.11,0.0,0.01,0.42,,,,,,
4635,NHL Slapshot,Wii,2010.0,Sports,EA Sports,0.39,0.0,0.0,0.02,0.42,76.0,25.0,8.1,7.0,EA Sports,E
4648,TERA,PC,2011.0,Role-Playing,En Masse Entertainment,0.25,0.12,0.0,0.05,0.42,77.0,41.0,6.8,742.0,Bluehole Studio,M
4775,NFL GameDay 2003,PS2,2002.0,Sports,989 Sports,0.2,0.15,0.0,0.05,0.4,60.0,23.0,tbd,,989 Sports,E
4818,LEGO Harry Potter: Years 5-7,3DS,2011.0,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0.0,0.03,0.4,71.0,7.0,6.5,11.0,Traveller's Tales,E10+
4848,Harvest Moon: Save the Homeland,PS2,2001.0,Simulation,Natsume,0.19,0.15,0.0,0.05,0.4,76.0,14.0,8.8,72.0,Victor Interactive Software,E
4945,Robert Ludlum's The Bourne Conspiracy,PS3,2008.0,Action,Vivendi Games,0.18,0.14,0.0,0.06,0.39,70.0,47.0,7.6,43.0,High Moon Studios,T
4959,Silent Hill: Homecoming,PS3,2008.0,Action,Konami Digital Entertainment,0.18,0.14,0.0,0.06,0.38,71.0,41.0,6.9,143.0,Double Helix Games,M
5041,Hangman,2600,1978.0,Puzzle,Atari,0.35,0.02,0.0,0.0,0.38,,,,,,
5070,The Golden Compass,PSP,2007.0,Action,Sega,0.11,0.16,0.0,0.1,0.37,28.0,4.0,4.1,7.0,Shiny Entertainment,E10+
5156,NBA Live 2003,XB,2002.0,Sports,Electronic Arts,0.31,0.04,0.0,0.01,0.36,82.0,17.0,8.8,6.0,EA Canada,E
5194,Cubix Robots for Everyone: Clash 'n' Bash,GBA,2002.0,Action,3DO,0.26,0.1,0.0,0.01,0.36,,,,,,
